timestamp_utc,gpu_name,utilization_gpu_percent,memory_used_mb,memory_total_mb
2026-08-18T18:25:31.290789Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:25:32.374618Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:25:33.459606Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:34.529612Z,NVIDIA GeForce RTX 5060 Ti,88.0,5370.0,16311.0
2026-08-18T18:25:35.614605Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:25:36.668605Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:25:37.739605Z,NVIDIA GeForce RTX 5060 Ti,95.0,5370.0,16311.0
2026-08-18T18:25:38.826933Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:25:39.911933Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:25:40.979933Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:42.051933Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:43.137934Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:25:44.205932Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:25:45.275933Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:46.361934Z,NVIDIA GeForce RTX 5060 Ti,95.0,5370.0,16311.0
2026-08-18T18:25:47.432934Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:25:48.506935Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:49.574935Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:25:50.631935Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:51.695390Z,NVIDIA GeForce RTX 5060 Ti,95.0,5370.0,16311.0
2026-08-18T18:25:52.780350Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:53.866349Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:54.936365Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:25:56.022394Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:57.106395Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:58.177394Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:25:59.232394Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:00.303396Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:01.371394Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:02.440396Z,NVIDIA GeForce RTX 5060 Ti,95.0,5370.0,16311.0
2026-08-18T18:26:03.527395Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:04.611396Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:26:05.684395Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:06.752715Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:07.837713Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:08.908713Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:09.984714Z,NVIDIA GeForce RTX 5060 Ti,95.0,5370.0,16311.0
2026-08-18T18:26:11.050714Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:26:12.116716Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:13.201714Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:14.259714Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:15.344752Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:16.431750Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:26:17.516750Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
